Kategorie: Alle Kategorien

Monat,"data science","data scientist"
2004-01,0,0
2004-02,0,0
2004-03,0,0
2004-04,0,0
2004-05,0,0
2004-06,0,0
2004-07,0,0
2004-08,0,0
2004-09,0,0
2004-10,0,0
2004-11,0,0
2004-12,0,0
2005-01,0,0
2005-02,0,0
2005-03,1,0
2005-04,0,0
2005-05,1,0
2005-06,0,0
2005-07,0,0
2005-08,0,0
2005-09,<1,0
2005-10,1,0
2005-11,<1,0
2005-12,<1,0
2006-01,<1,0
2006-02,0,0
2006-03,0,0
2006-04,<1,0
2006-05,<1,0
2006-06,0,0
2006-07,0,0
2006-08,<1,0
2006-09,<1,0
2006-10,<1,0
2006-11,<1,0
2006-12,<1,0
2007-01,<1,0
2007-02,<1,0
2007-03,<1,0
2007-04,0,0
2007-05,<1,0
2007-06,<1,0
2007-07,<1,0
2007-08,<1,0
2007-09,<1,0
2007-10,<1,0
2007-11,<1,0
2007-12,<1,0
2008-01,<1,0
2008-02,<1,0
2008-03,<1,0
2008-04,<1,0
2008-05,<1,0
2008-06,<1,0
2008-07,<1,0
2008-08,<1,0
2008-09,<1,0
2008-10,<1,0
2008-11,<1,0
2008-12,<1,0
2009-01,<1,0
2009-02,<1,0
2009-03,<1,0
2009-04,<1,0
2009-05,<1,0
2009-06,<1,0
2009-07,<1,0
2009-08,<1,<1
2009-09,<1,0
2009-10,<1,0
2009-11,<1,0
2009-12,<1,0
2010-01,<1,0
2010-02,<1,0
2010-03,<1,0
2010-04,<1,0
2010-05,<1,0
2010-06,<1,0
2010-07,<1,0
2010-08,<1,0
2010-09,<1,0
2010-10,<1,0
2010-11,<1,0
2010-12,<1,<1
2011-01,<1,<1
2011-02,<1,<1
2011-03,<1,<1
2011-04,<1,0
2011-05,<1,<1
2011-06,<1,<1
2011-07,<1,<1
2011-08,<1,<1
2011-09,<1,<1
2011-10,<1,<1
2011-11,<1,<1
2011-12,<1,<1
2012-01,1,1
2012-02,1,1
2012-03,1,1
2012-04,1,1
2012-05,1,1
2012-06,1,1
2012-07,1,1
2012-08,1,1
2012-09,1,1
2012-10,1,1
2012-11,1,1
2012-12,1,1
2013-01,1,1
2013-02,1,1
2013-03,2,2
2013-04,2,3
2013-05,3,2
2013-06,2,2
2013-07,2,2
2013-08,3,2
2013-09,3,2
2013-10,3,2
2013-11,3,2
2013-12,3,3
2014-01,4,3
2014-02,5,3
2014-03,5,3
2014-04,5,3
2014-05,5,3
2014-06,5,3
2014-07,6,4
2014-08,7,5
2014-09,7,5
2014-10,7,5
2014-11,7,4
2014-12,7,4
2015-01,8,5
2015-02,9,6
2015-03,8,6
2015-04,9,6
2015-05,10,6
2015-06,10,6
2015-07,11,6
2015-08,12,6
2015-09,13,6
2015-10,14,7
2015-11,13,6
2015-12,13,6
2016-01,15,8
2016-02,15,7
2016-03,15,7
2016-04,16,7
2016-05,17,10
2016-06,17,10
2016-07,17,8
2016-08,18,8
2016-09,20,8
2016-10,20,8
2016-11,21,8
2016-12,21,8
2017-01,26,11
2017-02,27,11
2017-03,29,11
2017-04,28,11
2017-05,31,11
2017-06,33,11
2017-07,30,12
2017-08,32,12
2017-09,35,13
2017-10,36,13
2017-11,36,13
2017-12,33,11
2018-01,42,14
2018-02,42,15
2018-03,43,15
2018-04,42,15
2018-05,42,15
2018-06,44,15
2018-07,45,15
2018-08,46,16
2018-09,49,17
2018-10,48,16
2018-11,51,15
2018-12,44,14
2019-01,55,17
2019-02,57,17
2019-03,55,17
2019-04,57,17
2019-05,56,19
2019-06,63,18
2019-07,65,19
2019-08,65,20
2019-09,69,21
2019-10,65,19
2019-11,66,19
2019-12,61,18
2020-01,71,20
2020-02,73,20
2020-03,64,15
2020-04,63,16
2020-05,66,18
2020-06,69,19
2020-07,72,20
2020-08,72,18
2020-09,71,19
2020-10,63,18
2020-11,54,16
2020-12,56,17
2021-01,59,18
2021-02,59,18
2021-03,59,18
2021-04,59,18
2021-05,61,19
2021-06,67,20
2021-07,65,20
2021-08,65,20
2021-09,66,20
2021-10,64,20
2021-11,65,21
2021-12,63,19
2022-01,89,27
2022-02,91,28
2022-03,90,29
2022-04,95,29
2022-05,90,30
2022-06,97,29
2022-07,94,30
2022-08,99,29
2022-09,96,29
2022-10,91,27
2022-11,89,26
2022-12,82,24
2023-01,93,29
2023-02,95,28
2023-03,90,26
2023-04,88,26
2023-05,99,27
2023-06,99,27
2023-07,100,27
2023-08,99,32
2023-09,93,27
2023-10,89,25
2023-11,87,23
2023-12,84,23
2024-01,95,27
2024-02,99,29
2024-03,94,27
2024-04,91,27
2024-05,100,26
2024-06,98,26
2024-07,94,27
2024-08,91,26
2024-09,91,26
2024-10,89,25
